num_distr,mouse.time,mouse.clicked_name,,,,,,
5,1.2490146,['target'],,,,,,
10,1.3308429,['target'],,,,,,
5,0.9948436,['target'],,,,,,
10,1.239432,['target'],,,,,,
5,0.9299316,['target'],,,,,,
10,1.1149676,['target'],,,,,,
5,1.3122701,['target'],,,,,,
10,1.3305404,['target'],,,,,,
5,1.4116098,['target'],,,,,,
5,1.2656821,[],,,,,,
10,1.196642,['target'],,,,,,
10,1.0665865,['target'],,,,,,
10,1.1906121,['target'],,,,,,
5,1.1466555,['target'],,,,,,
5,0.9960697,['target'],,,,,,
5,1.0780576,['target'],,,,,,
5,0.6950249,[],,,,,,
10,1.1738243,['target'],,,,,,
5,1.2142734,['target'],,,,,,
5,1.4323294,[],,,,,,
10,0.8727202,['target'],,,,,,
5,1.0794102,[],,,,,,
10,1.1288082,['target'],,,,,,
5,0.9090969,['target'],,,,,,
10,1.3782105,['target'],,,,,,
5,0.8987451,['target'],,,,,,
5,1.3287142,['target'],,,,,,
5,0.9142292,['target'],,,,,,
10,0.9619847,['target'],,,,,,
5,0.9931087,['target'],,,,,,
10,1.3592419,['target'],,,,,,
5,1.213533,['target'],,,,,,
10,1.3080735,['target'],,,,,,
10,1.3640785,['target'],,,,,,
10,1.298991,['target'],,,,,,
5,1.4127673,['target'],,,,,,
5,1.0785694,['target'],,,,,,
5,0.8760257,['target'],,,,,,
5,1.1140477,['target'],,,,,,
10,1.1111131,['target'],,,,,,
10,1.3503565,['target'],,,,,,
10,0.8571111,['target'],,,,,,
5,1.2602131,[],,,,,,
5,1.2398817,['target'],,,,,,
5,1.0621434,[],,,,,,
10,2.6307031,['target'],,,,,,
10,1.2796093,[],,,,,,
10,1.0621357,[],,,,,,
10,1.0741377,[],,,,,,
10,0.9588641,['target'],,,,,,
5,1.1271238,['target'],,,,,,
5,1.2580255,['target'],,,,,,
10,1.2309006,['target'],,,,,,
10,1.216378,['target'],,,,,,
5,1.5101607,['target'],,,,,,
10,0.8651645,[],,,,,,
5,1.0582646,['target'],,,,,,
5,1.1636473,['target'],,,,,,
10,0.9405332,['target'],,,,,,
10,1.3323553,['target'],,,,,,
10,2.742053,['target'],,,,,,
5,1.1276972,['target'],,,,,,
5,1.1408404,['target'],,,,,,
10,1.1881152,['target'],,,,,,
10,1.0748964,['target'],,,,,,
10,0.8589809,[],,,,,,
5,0.8988901,['target'],,,,,,
10,1.1087921,['target'],,,,,,
10,0.976248,['target'],,,,,,
5,1.1949771,['target'],,,,,,
10,1.3755844,['target'],,,,,,
5,1.5290786,['target'],,,,,,
10,1.306131,['target'],,,,,,
10,1.2410568,[],,,,,,
5,0.9767103,[],,,,,,
10,1.3070878,['target'],,,,,,
5,1.0280562,['target'],,,,,,
10,1.0737386,['target'],,,,,,
5,1.5757426,['target'],,,,,,
5,0.8935692,['target'],,,,,,
10,1.0486899,[],,,,,,
10,0.9727239,[],,,,,,
10,1.2978623,['target'],,,,,,
5,1.0135009,['target'],,,,,,
10,1.0507595,['target'],,,,,,
10,1.2914932,['target'],,,,,,
10,1.2296872,[],,,,,,
5,1.3619144,['target'],,,,,,
10,1.0190127,['target'],,,,,,
10,1.0418671,[],,,,,,
5,1.1117479,['target'],,,,,,
5,1.2764796,['target'],,,,,,
10,1.1014116,['target'],,,,,,
10,1.2317619,['target'],,,,,,
10,2.0577746,['target'],,,,,,
5,1.0624426,['target'],,,,,,
10,1.6446596,['target'],,,,,,
5,0.9916464,['target'],,,,,,
10,1.2988642,['target'],,,,,,
5,1.1588267,[],,,,,,
5,1.5952172,['target'],,,,,,
5,1.3103311,['target'],,,,,,
5,1.4960192,['target'],,,,,,
10,1.4384562,['target'],,,,,,
10,0.9889215,['target'],,,,,,
5,0.8295075,['target'],,,,,,
10,1.2417976,['target'],,,,,,
5,0.8817073,[],,,,,,
5,0.8805094,['target'],,,,,,
5,0.8424989,['target'],,,,,,
10,1.1775626,[],,,,,,
10,0.9960788,['target'],,,,,,
10,0.866526,[],,,,,,
5,0.8448064,['target'],,,,,,
10,1.0129159,[],,,,,,
5,1.1784573,['target'],,,,,,
10,1.4250938,[],,,,,,
10,1.01812,[],,,,,,
5,1.2581803,[],,,,,,
10,1.4443484,['target'],,,,,,
5,1.310524,['target'],,,,,,
5,1.5976169,[],,,,,,
10,1.6084763,['target'],,,,,,
5,0.9136364,['target'],,,,,,
10,1.3543369,['target'],,,,,,
10,0.8292561,['target'],,,,,,
5,1.1130262,['target'],,,,,,
5,1.2955579,[],,,,,,
10,1.7880499,['target'],,,,,,
5,1.1633164,['target'],,,,,,
5,1.0768294,[],,,,,,
5,0.811861,['target'],,,,,,
5,1.2615004,['target'],,,,,,
10,1.3143174,['target'],,,,,,
5,0.9901085,['target'],,,,,,
10,1.158126,['target'],,,,,,
10,0.8595327,['target'],,,,,,
10,1.0447124,['target'],,,,,,
10,0.8771208,[],,,,,,
10,1.3939011,['target'],,,,,,
10,1.2848658,['target'],,,,,,
5,1.1188983,['target'],,,,,,
5,1.0049819,['target'],,,,,,
5,1.0416988,[],,,,,,
5,1.092807,[],,,,,,
5,0.9421559,[],,,,,,
